"date","numflights","totaldelay","avgdelay","numdelay15"
"1994-05-01",1402,9961,0,205
"1994-05-02",1525,8590,0,174
"1994-05-03",1547,2869,0,50
"1994-05-04",1535,2102,0,38
"1994-05-05",1484,4518,0,95
"1994-05-06",1495,13551,15,327
"1994-05-07",1310,4309,0,94
"1994-05-08",1410,3892,0,71
"1994-05-09",1519,4649,0,115
"1994-05-10",1516,2339,0,42
"1994-05-11",1527,4450,0,115
"1994-05-12",1528,5121,0,117
"1994-05-13",1474,24310,0,376
"1994-05-14",1305,3786,0,80
"1994-05-15",1373,9860,84,250
"1994-05-16",1535,4675,0,85
"1994-05-17",1531,2609,0,45
"1994-05-18",1533,4225,0,78
"1994-05-19",1511,5356,0,115
"1994-05-20",1551,5802,6,122
"1994-05-21",1313,2108,0,35
"1994-05-22",1444,5337,0,117
"1994-05-23",1561,2164,0,26
"1994-05-24",1553,3530,0,62
"1994-05-25",1517,5268,0,92
"1994-05-26",1422,13575,9,302
"1994-05-27",1505,7731,5,184
"1994-05-28",1317,2912,0,55
"1994-05-29",1266,3319,0,71
"1994-05-30",1426,4501,0,99
"1994-05-31",1536,6233,0,111
"1989-03-01",779,5652,2,129
"1989-03-02",802,12387,25,290
"1989-03-03",794,18637,15,392
"1989-03-04",519,15025,4,233
"1989-03-05",607,17799,0,309
"1989-03-06",803,7261,0,154
"1989-03-07",826,5644,6,127
"1989-03-08",826,4022,10,89
"1989-03-09",827,9326,14,183
"1989-03-10",784,7387,35,165
"1989-03-11",531,3439,10,81
"1989-03-12",693,5681,15,128
"1989-03-13",829,6182,10,124
"1989-03-14",837,7994,0,159
"1989-03-15",840,5388,8,142
"1989-03-16",812,6765,20,190
"1989-03-17",810,10592,15,244
"1989-03-18",497,4919,40,118
"1989-03-19",676,5232,11,125
"1989-03-20",774,12793,11,279
"1989-03-21",798,13310,0,295
"1989-03-22",780,5135,15,136
"1989-03-23",828,4233,19,104
"1989-03-24",830,5362,17,89
"1989-03-25",511,4101,23,94
"1989-03-26",670,3004,13,74
"1989-03-27",824,4928,0,113
"1989-03-28",801,16831,0,330
"1989-03-29",810,6544,0,148
"1989-03-30",801,7763,5,197
"1989-03-31",833,5107,12,139
"2003-06-01",2461,12573,0,262
"2003-06-02",2780,10891,0,248
"2003-06-03",2780,9747,0,215
"2003-06-04",2780,15852,0,304
"2003-06-05",2780,33400,0,560
"2003-06-06",2787,18767,0,459
"2003-06-07",2012,7785,0,202
"2003-06-08",2497,32100,0,680
"2003-06-09",2780,17822,0,391
"2003-06-10",2780,12849,0,286
"2003-06-11",2780,17095,0,396
"2003-06-12",2780,56912,0,824
"2003-06-13",2784,34701,0,729
"2003-06-14",2155,11408,0,238
"2003-06-15",2497,12429,8,322
"2003-06-16",2780,25466,0,506
"2003-06-17",2780,5938,0,146
"2003-06-18",2780,17735,0,369
"2003-06-19",2780,24492,0,521
"2003-06-20",2784,28999,0,659
"2003-06-21",2155,13897,0,311
"2003-06-22",2497,20373,0,466
"2003-06-23",2780,18773,0,484
"2003-06-24",2780,12376,0,305
"2003-06-25",2780,23205,0,507
"2003-06-26",2780,26035,0,574
"2003-06-27",2784,23617,0,533
"2003-06-28",2155,13306,0,317
"2003-06-29",2497,9327,0,236
"2003-06-30",2780,14955,0,288
"2000-10-01",2443,45477,0,818
"2000-10-02",2647,12599,0,306
"2000-10-03",2647,9780,0,254
"2000-10-04",2647,46985,0,815
"2000-10-05",2647,49373,46,1048
"2000-10-06",2677,72296,0,1416
"2000-10-07",2104,20094,0,490
"2000-10-08",2462,32632,0,816
"2000-10-09",2667,22767,0,523
"2000-10-10",2667,28961,0,655
"2000-10-11",2667,22579,0,536
"2000-10-12",2667,30522,0,723
"2000-10-13",2697,43673,0,961
"2000-10-14",2123,10215,0,236
"2000-10-15",2462,54631,0,975
"2000-10-16",2667,38053,0,718
"2000-10-17",2667,20671,0,504
"2000-10-18",2667,20895,0,481
"2000-10-19",2667,125053,0,1231
"2000-10-20",2697,65526,0,1184
"2000-10-21",2123,19170,0,483
"2000-10-22",2462,83360,25,1200
"2000-10-23",2667,30692,0,737
"2000-10-24",2667,37078,0,658
"2000-10-25",2667,26166,0,611
"2000-10-26",2667,55374,0,1079
"2000-10-27",2697,100556,0,1294
"2000-10-28",2125,21337,0,459
"2000-10-29",2591,31921,0,674
"2000-10-30",2686,24647,0,508
"2000-10-31",2686,28015,0,511
"1994-06-01",1563,2764,0,48
"1994-06-02",1520,8082,0,207
"1994-06-03",1479,7155,0,169
"1994-06-04",1314,3941,0,64
"1994-06-05",1410,8333,5,188
"1994-06-06",1574,3285,0,61
"1994-06-07",1558,4707,0,83
"1994-06-08",1542,4140,20,81
"1994-06-09",1531,10031,0,215
"1994-06-10",1491,25043,0,492
"1994-06-11",1346,12841,0,226
"1994-06-12",1429,10324,0,244
"1994-06-13",1499,15425,0,230
"1994-06-14",1519,4397,0,98
"1994-06-15",1611,6280,0,164
"1994-06-16",1577,11301,0,225
"1994-06-17",1568,11643,0,303
"1994-06-18",1349,7452,0,170
"1994-06-19",1358,8220,0,216
"1994-06-20",1569,13224,0,241
"1994-06-21",1569,4042,0,72
"1994-06-22",1599,4197,0,81
"1994-06-23",1570,17769,0,307
"1994-06-24",1502,14335,0,349
"1994-06-25",1360,7369,0,177
"1994-06-26",1375,11331,0,272
"1994-06-27",1557,6176,0,139
"1994-06-28",1524,4204,0,70
"1994-06-29",1599,7065,0,126
"1994-06-30",1537,11617,0,296
"1991-10-01",1143,1437,0,24
"1991-10-02",1131,1385,0,24
"1991-10-03",1164,3173,0,50
"1991-10-04",1128,12256,15,235
"1991-10-05",840,1269,0,22
"1991-10-06",936,4235,5,86
"1991-10-07",1124,2901,0,67
"1991-10-08",1131,3385,0,69
"1991-10-09",1145,2556,10,47
"1991-10-10",1110,3365,0,77
"1991-10-11",1143,4696,0,112
"1991-10-12",847,1504,5,25
"1991-10-13",983,2159,0,35
"1991-10-14",1115,5826,0,110
"1991-10-15",1149,2253,0,47
"1991-10-16",1147,2644,0,47
"1991-10-17",1131,3878,0,65
"1991-10-18",1142,10302,0,236
"1991-10-19",838,3566,0,50
"1991-10-20",943,6689,23,150
"1991-10-21",1144,1304,0,16
"1991-10-22",1134,1103,0,15
"1991-10-23",1132,3882,0,65
"1991-10-24",1121,5937,0,108
"1991-10-25",1154,9639,15,208
"1991-10-26",826,4812,0,110
"1991-10-27",949,13971,28,336
"1991-10-28",1131,13392,0,271
"1991-10-29",1073,11598,6,234
"1991-10-30",1129,8934,0,184
"1991-10-31",1125,16591,48,331
"1989-04-01",521,2399,3,48
"1989-04-02",687,13452,17,193
"1989-04-03",879,11090,0,211
"1989-04-04",881,6833,4,144
"1989-04-05",827,3135,0,69
"1989-04-06",869,3871,7,93
"1989-04-07",848,6191,34,160
"1989-04-08",571,2077,6,44
"1989-04-09",722,4884,10,126
"1989-04-10",882,3674,3,77
"1989-04-11",900,1802,0,31
"1989-04-12",889,4362,0,99
"1989-04-13",846,8547,0,222
"1989-04-14",850,9940,10,275
"1989-04-15",564,2389,4,57
"1989-04-16",715,5100,14,114
"1989-04-17",901,4356,0,87
"1989-04-18",879,2069,1,35
"1989-04-19",869,5094,3,120
"1989-04-20",840,6830,15,154
"1989-04-21",886,6941,13,177
"1989-04-22",571,2993,0,62
"1989-04-23",685,4798,23,111
"1989-04-24",872,6340,6,113
"1989-04-25",894,5961,1,130
"1989-04-26",879,3374,0,71
"1989-04-27",877,5080,11,121
"1989-04-28",888,10795,20,245
"1989-04-29",579,2682,0,56
"1989-04-30",746,3883,10,91
"2008-01-01",2835,59379,-5,975
"2008-01-02",3436,101232,95,1891
"2008-01-03",3437,85696,42,1737
"2008-01-04",3438,62607,0,1182
"2008-01-05",2809,61182,44,1094
"2008-01-06",3229,59987,6,1254
"2008-01-07",3436,30773,-3,611
"2008-01-08",3436,19923,-3,506
"2008-01-09",3436,12024,-4,355
"2008-01-10",3437,19752,-4,497
"2008-01-11",3438,18399,-1,464
"2008-01-12",2784,1179,-1,145
"2008-01-13",3065,26372,-4,624
"2008-01-14",3430,3626,-1,173
"2008-01-15",3430,11951,-2,331
"2008-01-16",3428,6764,-1,225
"2008-01-17",3430,59981,1,1088
"2008-01-18",3430,40532,15,933
"2008-01-19",2518,11185,4,300
"2008-01-20",3065,8418,0,227
"2008-01-21",3430,58504,6,1119
"2008-01-22",3430,22673,5,550
"2008-01-23",3428,19457,1,464
"2008-01-24",3430,26131,5,630
"2008-01-25",3430,44107,20,934
"2008-01-26",2518,9608,1,310
"2008-01-27",3065,120367,9,1335
"2008-01-28",3430,29479,41,720
"2008-01-29",3430,14868,3,363
"2008-01-30",3428,12049,1,344
"2008-01-31",3430,104733,0,1384
"2003-07-01",2780,18349,0,415
"2003-07-02",2780,17912,0,372
"2003-07-03",2784,17912,0,395
"2003-07-04",1886,4321,0,109
"2003-07-05",1989,7352,0,165
"2003-07-06",2501,27776,0,502
"2003-07-07",2784,39096,0,704
"2003-07-08",2784,34628,0,586
"2003-07-09",2784,39777,0,571
"2003-07-10",2784,15145,0,340
"2003-07-11",2788,28468,0,588
"2003-07-12",2159,11435,0,251
"2003-07-13",2501,15134,0,349
"2003-07-14",2784,12758,0,316
"2003-07-15",2784,23067,0,534
"2003-07-16",2784,19799,0,408
"2003-07-17",2784,23755,0,439
"2003-07-18",2788,36101,0,774
"2003-07-19",2159,9640,0,213
"2003-07-20",2501,12549,0,305
"2003-07-21",2784,24028,0,531
"2003-07-22",2784,35106,0,448
"2003-07-23",2784,14900,0,370
"2003-07-24",2784,37405,0,679
"2003-07-25",2788,52559,0,750
"2003-07-26",2159,10697,0,243
"2003-07-27",2501,48235,0,623
"2003-07-28",2784,18052,0,351
"2003-07-29",2784,12974,0,275
"2003-07-30",2784,12776,0,306
"2003-07-31",2784,53907,0,771
"1999-01-01",1577,22342,0,390
"1999-01-02",1826,29734,4,610
"1999-01-03",2192,75676,11,1237
"1999-01-04",2384,47136,10,1010
"1999-01-05",2384,23248,6,552
"1999-01-06",2384,24700,0,541
"1999-01-07",2384,29948,7,625
"1999-01-08",2403,61529,52,944
"1999-01-09",1872,16050,5,333
"1999-01-10",2192,16230,0,393
"1999-01-11",2384,14908,0,328
"1999-01-12",2384,7560,0,165
"1999-01-13",2384,24425,0,502
"1999-01-14",2382,31619,0,659
"1999-01-15",2396,43966,0,866
"1999-01-16",1846,6832,0,156
"1999-01-17",2163,22371,0,482
"1999-01-18",2382,26665,9,618
"1999-01-19",2382,9257,0,204
"1999-01-20",2382,32741,0,654
"1999-01-21",2382,41084,0,818
"1999-01-22",2396,52124,0,867
"1999-01-23",1846,15060,23,365
"1999-01-24",2163,14691,5,387
"1999-01-25",2382,7150,0,183
"1999-01-26",2382,13390,0,329
"1999-01-27",2382,8274,0,189
"1999-01-28",2382,14567,0,315
"1999-01-29",2396,26743,12,557
"1999-01-30",1846,5533,39,126
"1999-01-31",2163,10681,0,271
"2000-11-01",2686,28634,0,511
"2000-11-02",2686,24762,0,552
"2000-11-03",2687,40526,0,906
"2000-11-04",2147,9442,0,186
"2000-11-05",2591,55804,0,958
"2000-11-06",2686,51480,0,895
"2000-11-07",2686,16847,0,371
"2000-11-08",2686,28654,0,619
"2000-11-09",2686,46847,15,1043
"2000-11-10",2687,41117,0,954
"2000-11-11",2147,8778,0,218
"2000-11-12",2591,63692,0,1116
"2000-11-13",2686,23092,0,557
"2000-11-14",2686,19325,0,440
"2000-11-15",2686,25626,0,585
"2000-11-16",2686,39821,0,959
"2000-11-17",2687,44388,10,1050
"2000-11-18",2147,18610,0,486
"2000-11-19",2591,16871,0,444
"2000-11-20",2686,14398,0,365
"2000-11-21",2696,43640,8,932
"2000-11-22",2694,43657,0,945
"2000-11-23",1664,9147,0,190
"2000-11-24",1876,10782,29,228
"2000-11-25",2011,32205,5,582
"2000-11-26",2605,65310,5,1229
"2000-11-27",2686,38323,0,858
"2000-11-28",2686,27309,0,678
"2000-11-29",2686,20721,0,493
"2000-11-30",2686,15268,0,359
"1994-07-01",1587,10489,5,255
"1994-07-02",1341,6487,0,157
"1994-07-03",1308,1881,0,18
"1994-07-04",1515,2350,0,47
"1994-07-05",1600,7154,0,113
"1994-07-06",1617,5884,0,113
"1994-07-07",1590,11670,0,228
"1994-07-08",1673,7743,0,172
"1994-07-09",1392,9560,0,225
"1994-07-10",1544,10100,0,192
"1994-07-11",1648,4597,0,95
"1994-07-12",1615,6594,0,114
"1994-07-13",1593,3667,0,74
"1994-07-14",1558,11403,0,260
"1994-07-15",1585,11062,0,278
"1994-07-16",1377,6846,5,175
"1994-07-17",1517,10179,0,247
"1994-07-18",1652,10091,0,194
"1994-07-19",1624,5756,0,98
"1994-07-20",1597,8541,0,146
"1994-07-21",1593,9176,0,225
"1994-07-22",1565,15866,0,348
"1994-07-23",1392,6689,0,172
"1994-07-24",1504,7336,0,183
"1994-07-25",1587,11512,0,246
"1994-07-26",1609,5630,0,122
"1994-07-27",1624,7159,0,162
"1994-07-28",1636,10379,0,204
"1994-07-29",1655,10249,0,239
"1994-07-30",1394,6775,0,158
"1994-07-31",1524,9561,0,222
"1991-11-01",1109,7900,5,214
"1991-11-02",821,2083,0,43
"1991-11-03",957,4751,5,122
"1991-11-04",1152,2272,0,37
"1991-11-05",1160,874,0,10
"1991-11-06",1157,2367,0,47
"1991-11-07",1153,13160,8,252
"1991-11-08",1099,7866,13,211
"1991-11-09",840,2154,0,51
"1991-11-10",968,4521,9,85
"1991-11-11",1148,3043,0,70
"1991-11-12",1149,3271,0,68
"1991-11-13",1173,1504,0,26
"1991-11-14",1158,3473,0,82
"1991-11-15",1127,5909,16,152
"1991-11-16",849,2365,0,52
"1991-11-17",973,16647,28,289
"1991-11-18",1120,6336,0,128
"1991-11-19",1139,7405,6,182
"1991-11-20",1155,2906,0,70
"1991-11-21",1160,2168,0,41
"1991-11-22",1162,8388,0,204
"1991-11-23",841,2653,0,57
"1991-11-24",996,1569,0,22
"1991-11-25",1152,1073,0,11
"1991-11-26",1124,4867,0,97
"1991-11-27",1131,11939,10,287
"1991-11-28",612,860,0,9
"1991-11-29",672,2899,14,39
"1991-11-30",791,5407,54,144
"1989-05-01",874,2603,0,57
"1989-05-02",903,4253,0,77
"1989-05-03",896,14569,0,284
"1989-05-04",901,18142,5,362
"1989-05-05",835,9007,13,230
"1989-05-06",568,1705,0,33
"1989-05-07",708,4393,18,117
"1989-05-08",876,4584,0,102
"1989-05-09",854,6457,0,134
"1989-05-10",857,4740,0,119
"1989-05-11",857,6905,22,193
"1989-05-12",862,9829,15,269
"1989-05-13",565,5738,14,139
"1989-05-14",722,7079,16,182
"1989-05-15",861,8186,0,205
"1989-05-16",899,18441,0,253
"1989-05-17",807,19091,0,273
"1989-05-18",814,17292,0,332
"1989-05-19",854,20831,0,322
"1989-05-20",610,4774,8,98
"1989-05-21",688,5159,10,136
"1989-05-22",856,4703,0,114
"1989-05-23",890,2619,0,58
"1989-05-24",866,5972,7,155
"1989-05-25",860,14215,5,283
"1989-05-26",893,5738,5,144
"1989-05-27",600,2214,0,44
"1989-05-28",725,2262,0,40
"1989-05-29",892,1797,0,35
"1989-05-30",869,7927,0,168
"1989-05-31",911,7983,0,121
"2008-02-01",3436,101777,9,1671
"2008-02-02",2528,9367,39,266
"2008-02-03",3065,100758,2,1069
"2008-02-04",3434,84172,55,1376
"2008-02-05",3436,58697,3,1026
"2008-02-06",3436,57920,45,948
"2008-02-07",3436,44380,-1,985
"2008-02-08",3434,43486,14,981
"2008-02-09",2522,7751,4,223
"2008-02-10",3069,32320,8,720
"2008-02-11",3434,32435,9,570
"2008-02-12",3434,79198,3,1181
"2008-02-13",3432,92441,-4,1256
"2008-02-14",3436,43537,1,1014
"2008-02-15",3434,43505,10,962
"2008-02-16",2522,19272,0,419
"2008-02-17",3069,56506,274,895
"2008-02-18",3434,45967,51,894
"2008-02-19",3434,25838,-4,526
"2008-02-20",3432,45839,6,803
"2008-02-21",3434,73887,60,1308
"2008-02-22",3434,126818,1,1822
"2008-02-23",2522,21294,23,500
"2008-02-24",3069,51987,7,1002
"2008-02-25",3434,46848,17,714
"2008-02-26",3434,51846,-3,821
"2008-02-27",3432,16074,-4,418
"2008-02-28",3434,15519,25,404
"2008-02-29",3434,30725,0,728
"2003-08-01",2788,41793,0,677
"2003-08-02",2159,17750,0,363
"2003-08-03",2501,46690,0,612
"2003-08-04",2784,26101,0,543
"2003-08-05",2784,13339,0,249
"2003-08-06",2784,11454,0,280
"2003-08-07",2784,15065,0,342
"2003-08-08",2788,30923,0,582
"2003-08-09",2159,21494,0,443
"2003-08-10",2509,19663,0,440
"2003-08-11",2792,35855,0,679
"2003-08-12",2792,8862,0,208
"2003-08-13",2792,16231,0,355
"2003-08-14",2792,15321,0,361
"2003-08-15",2796,16104,0,340
"2003-08-16",2167,26344,0,421
"2003-08-17",2509,12243,0,278
"2003-08-18",2792,12162,0,280
"2003-08-19",2792,14171,0,357
"2003-08-20",2792,16608,0,329
"2003-08-21",2792,22499,0,469
"2003-08-22",2796,38254,0,618
"2003-08-23",2167,5242,0,108
"2003-08-24",2509,12200,0,255
"2003-08-25",2792,10562,0,243
"2003-08-26",2792,24501,0,444
"2003-08-27",2792,17630,0,380
"2003-08-28",2792,13194,0,298
"2003-08-29",2796,31017,0,716
"2003-08-30",2167,9577,0,196
"2003-08-31",1969,5349,0,110
"1999-02-01",2382,11019,0,256
"1999-02-02",2382,5201,0,123
"1999-02-03",2382,6727,0,143
"1999-02-04",2382,17589,0,339
"1999-02-05",2404,25524,0,597
"1999-02-06",1854,12631,0,266
"1999-02-07",2171,22438,0,515
"1999-02-08",2390,17411,0,396
"1999-02-09",2390,10867,0,259
"1999-02-10",2390,14456,0,357
"1999-02-11",2390,51000,0,903
"1999-02-12",2404,37063,0,928
"1999-02-13",1854,9350,0,237
"1999-02-14",2171,12921,0,282
"1999-02-15",2390,13602,0,309
"1999-02-16",2390,20592,0,485
"1999-02-17",2390,8038,0,185
"1999-02-18",2390,39204,0,818
"1999-02-19",2404,24868,0,600
"1999-02-20",1854,10638,4,255
"1999-02-21",2171,21295,0,493
"1999-02-22",2390,18409,0,403
"1999-02-23",2390,16695,0,311
"1999-02-24",2390,9670,0,208
"1999-02-25",2390,22154,0,505
"1999-02-26",2404,22616,5,540
"1999-02-27",1854,16143,13,310
"1999-02-28",2171,21287,0,517
"2000-12-01",2687,37275,0,706
"2000-12-02",2147,9676,0,226
"2000-12-03",2591,21628,0,499
"2000-12-04",2686,5617,0,120
"2000-12-05",2686,9140,0,210
"2000-12-06",2686,14434,0,349
"2000-12-07",2686,26492,0,607
"2000-12-08",2687,29699,0,720
"2000-12-09",2147,13309,0,327
"2000-12-10",2611,28223,0,662
"2000-12-11",2706,25784,0,526
"2000-12-12",2706,32201,0,715
"2000-12-13",2705,67944,0,1095
"2000-12-14",2706,51373,0,1089
"2000-12-15",2707,92833,0,1361
"2000-12-16",2167,62482,16,1203
"2000-12-17",2611,42992,5,824
"2000-12-18",2706,34652,0,605
"2000-12-19",2706,45483,0,1046
"2000-12-20",2706,66862,47,1386
"2000-12-21",2706,103002,0,1740
"2000-12-22",2707,108801,0,1749
"2000-12-23",2167,66609,10,1256
"2000-12-24",2050,13579,20,351
"2000-12-25",2018,26128,0,505
"2000-12-26",2706,69243,20,1423
"2000-12-27",2706,93444,7,1758
"2000-12-28",2706,61266,0,1416
"2000-12-29",2707,67693,0,1203
"2000-12-30",2167,51775,0,971
"2000-12-31",2050,38909,45,818
"1994-08-01",1627,13832,0,215
"1994-08-02",1599,3590,0,80
"1994-08-03",1647,6438,5,144
"1994-08-04",1587,9636,15,228
"1994-08-05",1514,11431,8,288
"1994-08-06",1355,9262,0,187
"1994-08-07",1391,17699,0,363
"1994-08-08",1637,9870,0,250
"1994-08-09",1612,4828,0,100
"1994-08-10",1633,4849,5,106
"1994-08-11",1606,9743,0,218
"1994-08-12",1558,9467,0,241
"1994-08-13",1333,17558,0,333
"1994-08-14",1482,8468,0,197
"1994-08-15",1629,6200,0,134
"1994-08-16",1617,4792,0,110
"1994-08-17",1621,6480,5,137
"1994-08-18",1615,8107,0,201
"1994-08-19",1611,10717,0,254
"1994-08-20",1385,11288,0,199
"1994-08-21",1496,14807,6,333
"1994-08-22",1642,3967,0,86
"1994-08-23",1671,2214,0,34
"1994-08-24",1637,3261,0,69
"1994-08-25",1653,4202,0,88
"1994-08-26",1690,5994,0,131
"1994-08-27",1450,2595,0,33
"1994-08-28",1558,6343,0,126
"1994-08-29",1689,1588,0,16
"1994-08-30",1675,5397,0,116
"1994-08-31",1655,11598,0,159
"1991-12-01",869,9222,37,241
"1991-12-02",1109,15637,0,362
"1991-12-03",1111,4047,0,87
"1991-12-04",1146,1858,0,31
"1991-12-05",1104,5053,0,84
"1991-12-06",1085,6803,0,148
"1991-12-07",842,1894,0,31
"1991-12-08",977,2501,15,50
"1991-12-09",1160,1001,0,19
"1991-12-10",1171,4791,0,91
"1991-12-11",1141,9601,17,219
"1991-12-12",1157,5030,4,105
"1991-12-13",1146,6842,33,168
"1991-12-14",808,2203,0,51
"1991-12-15",965,2834,25,64
"1991-12-16",1174,928,0,11
"1991-12-17",1135,2384,0,46
"1991-12-18",1123,10729,11,271
"1991-12-19",1057,23152,0,377
"1991-12-20",1017,18903,45,443
"1991-12-21",804,10516,7,285
"1991-12-22",960,12258,28,256
"1991-12-23",1004,6737,0,171
"1991-12-24",759,1612,7,27
"1991-12-25",570,698,0,10
"1991-12-26",1022,4096,0,88
"1991-12-27",978,8929,0,191
"1991-12-28",707,5943,10,152
"1991-12-29",775,7762,21,180
"1991-12-30",973,4596,0,119
"1991-12-31",667,2017,5,38
"1989-06-01",828,16194,14,256
"1989-06-02",840,7912,10,191
"1989-06-03",558,9383,0,165
"1989-06-04",713,6519,16,177
"1989-06-05",885,5396,0,127
"1989-06-06",907,3524,0,84
"1989-06-07",905,23179,0,345
"1989-06-08",887,7242,20,168
"1989-06-09",882,9287,8,223
"1989-06-10",581,6038,0,147
"1989-06-11",726,6964,13,167
"1989-06-12",874,18490,48,344
"1989-06-13",858,21073,0,335
"1989-06-14",867,10493,0,240
"1989-06-15",854,9646,9,216
"1989-06-16",873,9250,13,230
"1989-06-17",567,3541,0,80
"1989-06-18",707,5454,19,143
"1989-06-19",891,7117,6,159
"1989-06-20",869,4833,0,109
"1989-06-21",879,4487,0,111
"1989-06-22",887,9509,13,222
"1989-06-23",860,9074,11,188
"1989-06-24",577,3452,7,81
"1989-06-25",742,6647,0,173
"1989-06-26",861,9293,0,201
"1989-06-27",901,4686,0,110
"1989-06-28",930,5929,10,148
"1989-06-29",855,7200,9,168
"1989-06-30",906,8906,10,228
"2008-03-01",2522,15358,1,375
"2008-03-02",3069,27080,7,646
"2008-03-03",3434,21115,-2,481
"2008-03-04",3434,21368,3,461
"2008-03-05",3432,24576,9,542
"2008-03-06",3434,47393,66,797
"2008-03-07",3434,74443,0,1377
"2008-03-08",2807,47114,2,814
"2008-03-09",3223,34858,-3,808
"2008-03-10",3456,37017,0,726
"2008-03-11",3456,22947,-3,506
"2008-03-12",3454,59671,-2,1021
"2008-03-13",3462,33347,3,751
"2008-03-14",3467,49702,-3,1131
"2008-03-15",2797,50595,23,1044
"2008-03-16",3223,55504,-1,1205
"2008-03-17",3464,30376,1,735
"2008-03-18",3464,77205,-3,1101
"2008-03-19",3462,67306,-4,1154
"2008-03-20",3470,57722,-4,1277
"2008-03-21",3477,46424,-2,1026
"2008-03-22",2805,24519,-2,636
"2008-03-23",3231,26867,-4,546
"2008-03-24",3464,30017,0,739
"2008-03-25",3464,45735,-2,863
"2008-03-26",3462,28349,-3,648
"2008-03-27",3470,44477,-5,962
"2008-03-28",3477,49388,-3,1063
"2008-03-29",2805,22799,-2,501
"2008-03-30",3231,43357,-2,1025
"2008-03-31",3464,76291,0,1402
"2003-09-01",2438,16188,0,392
"2003-09-02",2792,7904,0,196
"2003-09-03",2792,11023,0,236
"2003-09-04",2792,23336,0,371
"2003-09-05",2796,9372,0,227
"2003-09-06",2167,3308,0,86
"2003-09-07",2509,8512,0,188
"2003-09-08",2792,3947,0,88
"2003-09-09",2786,9267,0,226
"2003-09-10",2796,9097,0,216
"2003-09-11",2796,33447,0,471
"2003-09-12",2800,28079,0,676
"2003-09-13",2034,6321,0,138
"2003-09-14",2555,22455,8,514
"2003-09-15",2796,8298,0,209
"2003-09-16",2796,5478,0,139
"2003-09-17",2796,5630,0,144
"2003-09-18",2796,18352,0,367
"2003-09-19",2800,14508,0,359
"2003-09-20",2034,4649,10,104
"2003-09-21",2555,24613,0,554
"2003-09-22",2796,13273,0,314
"2003-09-23",2796,7040,0,155
"2003-09-24",2796,7687,0,178
"2003-09-25",2796,12554,0,283
"2003-09-26",2800,16079,0,378
"2003-09-27",2034,8273,0,180
"2003-09-28",2555,11373,0,257
"2003-09-29",2796,5262,0,129
"2003-09-30",2796,5264,0,122
"1999-03-01",2390,5893,0,128
"1999-03-02",2390,7213,0,162
"1999-03-03",2390,13950,0,282
"1999-03-04",2390,13766,0,335
"1999-03-05",2404,34712,0,637
"1999-03-06",1854,34163,0,466
"1999-03-07",2171,21968,0,527
"1999-03-08",2390,50091,130,822
"1999-03-09",2390,21926,10,468
"1999-03-10",2390,12752,0,285
"1999-03-11",2390,23866,0,579
"1999-03-12",2404,53142,7,928
"1999-03-13",1854,18554,0,438
"1999-03-14",2195,36318,0,771
"1999-03-15",2414,23492,0,544
"1999-03-16",2414,24730,0,472
"1999-03-17",2414,11847,0,280
"1999-03-18",2414,34641,0,788
"1999-03-19",2428,31939,0,773
"1999-03-20",1878,16407,18,365
"1999-03-21",2195,20744,3,503
"1999-03-22",2414,9318,0,202
"1999-03-23",2414,9188,0,197
"1999-03-24",2414,11818,0,288
"1999-03-25",2414,29615,0,609
"1999-03-26",2428,31640,0,750
"1999-03-27",1878,19975,0,447
"1999-03-28",2195,16750,0,419
"1999-03-29",2414,15332,4,370
"1999-03-30",2414,9845,0,226
"1999-03-31",2414,20982,0,399
"1994-09-01",1651,8078,0,150
"1994-09-02",1637,21746,0,381
"1994-09-03",1452,2355,0,42
"1994-09-04",1368,1387,0,25
"1994-09-05",1578,3679,0,73
"1994-09-06",1664,3918,5,81
"1994-09-07",1702,2028,0,41
"1994-09-08",1667,10111,0,226
"1994-09-09",1645,7979,0,175
"1994-09-10",1472,2305,0,43
"1994-09-11",1573,4237,0,80
"1994-09-12",1685,3607,0,68
"1994-09-13",1702,1811,0,34
"1994-09-14",1680,4629,0,89
"1994-09-15",1619,5401,4,110
"1994-09-16",1658,8429,14,188
"1994-09-17",1459,2701,0,49
"1994-09-18",1498,5795,0,119
"1994-09-19",1670,4110,0,80
"1994-09-20",1709,1693,0,31
"1994-09-21",1695,3711,0,73
"1994-09-22",1670,5981,5,140
"1994-09-23",1679,9516,0,245
"1994-09-24",1444,2520,0,51
"1994-09-25",1513,11318,0,236
"1994-09-26",1679,6356,0,150
"1994-09-27",1697,1539,0,19
"1994-09-28",1677,2763,0,45
"1994-09-29",1674,4354,0,88
"1994-09-30",1659,8831,0,225
"1989-07-01",582,3950,4,113
"1989-07-02",621,2505,5,31
"1989-07-03",650,1218,0,27
"1989-07-04",631,695,0,8
"1989-07-05",930,5791,0,130
"1989-07-06",899,12323,9,247
"1989-07-07",903,7930,4,169
"1989-07-08",591,2036,0,44
"1989-07-09",762,4359,8,112
"1989-07-10",875,3491,0,92
"1989-07-11",922,6935,4,96
"1989-07-12",865,5334,4,119
"1989-07-13",871,4548,3,101
"1989-07-14",838,7044,20,161
"1989-07-15",589,2740,0,46
"1989-07-16",771,8740,69,150
"1989-07-17",906,3526,7,76
"1989-07-18",870,3451,0,72
"1989-07-19",906,3769,0,77
